"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"P090S-14T20BR10K","TT Electronics/BI","987-1277-ND","","","Tray","Active","4","0.72000","$2.88","1709","12 Weeks","POT 10K OHM 1/32W PLASTIC LINEAR","ROHS3 Compliant","Lead free","REACH Unaffected"
"4832.2211","Schurter Inc.","486-3418-ND","","","Bulk","Active","11","1.50000","$16.50","1319","23 Weeks","CONN JACK MONO 3.5MM PNL MNT","ROHS3 Compliant","Lead free","REACH Unaffected"
"ATMEGA328P-PU","Microchip Technology","ATMEGA328P-PU-ND","","","Tube","Active","1","2.52000","$2.52","6630","25 Weeks","IC MCU 8BIT 32KB FLASH 28DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"ED281DT","On Shore Technology Inc.","ED3050-5-ND","","","Tube","Active","1","0.33000","$0.33","18080","8 Weeks","CONN IC DIP SOCKET 28POS TIN","ROHS3 Compliant","Lead free","REACH Unaffected"
"302-S101","On Shore Technology Inc.","ED1543-ND","","","Bulk","Active","1","0.28000","$0.28","58504","9 Weeks","CONN HEADER VERT 10POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"TL1265RQSCLR","E-Switch","EG4969-ND","","","Bulk","Active","1","3.19000","$3.19","556","10 Weeks","SWITCH TACTILE SPST-NO 0.05A 12V","ROHS3 Compliant","Lead free","REACH Unaffected"
"67997-206HLF","Amphenol ICC (FCI)","609-3234-ND","","","Bag","Active","1","0.35000","$0.35","10540","13 Weeks","CONN HEADER VERT 6POS 2.54MM","RoHS Compliant","Lead free","Not Available"
"FG14X7R1H334KNT06","TDK Corporation","445-173139-1-ND","","","Cut Tape (CT)","Active","1","0.38000","$0.38","2106","24 Weeks","CAP CER 0.33UF 50V X7R RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"C315C103K5R5TA7303","KEMET","399-9858-1-ND","","","Cut Tape (CT)","Active","1","0.25000","$0.25","35345","19 Weeks","CAP CER 10000PF 50V X7R RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"L7805CV","STMicroelectronics","497-1443-5-ND","","","Tube","Active","1","0.53000","$0.53","45333","20 Weeks","IC REG LINEAR 5V 1.5A TO220AB","ROHS3 Compliant","Lead free","REACH Unaffected"
"9B-16.000MBBK-B","TXC CORPORATION","887-2015-ND","","","Bulk","Active","1","0.30000","$0.30","3507","15 Weeks","CRYSTAL 16.0000MHZ 20PF TH","RoHS Compliant","Lead free","Not Available"
"RC0603JR-071KL","Yageo","311-1.0KGRCT-ND","","","Cut Tape (CT)","Active","19","0.01900","$0.36","6212835","20 Weeks","RES SMD 1K OHM 5% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"HRS-1B-12-GA","Adam Tech","2057-HRS-1B-12-GA-ND","","","Tube","Active","1","0.45000","$0.45","603","9 Weeks","RECEPTACLE STRIP, 1.27MM, VERTIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"RM3X4MM 2701","APM Hexseal","335-1150-ND","","","Bulk","Active","2","0.56000","$1.12","15720","4 Weeks","MACH SCREW PAN HEAD PHILLIPS M3","ROHS3 Compliant","Lead free","REACH Unaffected"
"24431","Keystone Electronics","36-24431-ND","","","Bulk","Active","1","0.41000","$0.41","8744","6 Weeks","HEX STANDOFF M3 ALUMINUM 6MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"BAT42W-TP","Micro Commercial Co","BAT42WTPMSCT-ND","","","Cut Tape (CT)","Active","13","0.26800","$3.48","52708","12 Weeks","DIODE SCHOTTKY 30V 200MA SOD123","ROHS3 Compliant","Lead free","REACH Unaffected"
"HPH1-A-10-UA","Adam Tech","2057-HPH1-A-10-UA-ND","","","Bulk","Active","1","0.62000","$0.62","356","9 Weeks","CONN HEADER VERT 10POS 1.27MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"HRS-1B-10-GA","Adam Tech","2057-HRS-1B-10-GA-ND","","","Tube","Active","1","0.47000","$0.47","85","9 Weeks","RECEPTACLE STRIP, 1.27MM, VERTIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"61300611121","Würth Elektronik","732-5319-ND","","","Bulk","Active","1","0.33000","$0.33","43593","19 Weeks","CONN HEADER VERT 6POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"GRPB121VWVN-RC","Sullins Connector Solutions","S9014E-12-ND","","","Bulk","Active","1","0.87000","$0.87","1435","5 Weeks","CONN HEADER VERT 12POS 1.27MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"K220J15C0GF5TL2","Vishay Beyschlag/Draloric/BC Components","BC1005CT-ND","","","Cut Tape (CT)","Active","2","0.24000","$0.48","14487","15 Weeks","CAP CER 22PF 50V C0G/NP0 RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"PTS645SK50SMTR92 LFS","C&K","CKN9087CT-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","157147","16 Weeks","SWITCH TACTILE SPST-NO 0.05A 12V","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL10B104KB8NNNC","Samsung Electro-Mechanics","1276-1000-1-ND","","","Cut Tape (CT)","Active","3","0.10000","$0.30","19092281","22 Weeks","CAP CER 0.1UF 50V X7R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"B4B-PH-K-S(LF)(SN)","JST Sales America Inc.","455-1706-ND","","","Bulk","Active","2","0.24000","$0.48","16081","18 Weeks","CONN HEADER VERT 4POS 2MM","RoHS Compliant","Lead free","Not Available"
"CABLE-PH04","Trinamic Motion Control GmbH","1460-1295-ND","","","Bulk","Active","1","0.53000","$0.53","4465","6 Weeks","CABLE JST PHR-04 AWG 24, LENGTH","ROHS3 Compliant","Lead free","Not Available"
"PRPC002SAAN-RC","Sullins Connector Solutions","S1011EC-02-ND","","","Bulk","Active","1","0.08000","$0.08","24020","4 Weeks","CONN HEADER VERT 2POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"QPC02SXGN-RC","Sullins Connector Solutions","S9337-ND","","","Bulk","Active","1","0.10000","$0.10","830576","5 Weeks","CONN JUMPER SHORTING .100"" GOLD","ROHS3 Compliant","Lead free","REACH Unaffected"
"LTST-C150KGKT","Lite-On Inc.","160-1404-1-ND","","","Cut Tape (CT)","Active","1","0.35000","$0.35","374647","20 Weeks","LED GREEN CLEAR 1206 SMD","ROHS3 Compliant","Lead free","Not Available"
"PHR-4","JST Sales America Inc.","455-1164-ND","","","Bulk","Active","1","0.10000","$0.10","6935","23 Weeks","CONN HOUSING PH 4POS 2MM WHITE","RoHS Compliant","Lead free","REACH Unaffected"
"SPH-002T-P0.5S","JST Sales America Inc.","455-1127-1-ND","","","Cut Tape (CT)","Active","4","0.10000","$0.40","1006882","24 Weeks","CONN SOCKET 24-30AWG CRIMP TIN","RoHS Compliant","Lead free","REACH Unaffected"